DAY,HDFC,RELIANCE,DABUR,DLF,
345,1382,511.38,306.85,163.9,
346,1367.45,512.03,303,161,
347,1387.7,506.55,307.65,160.25,
348,1402.15,513.18,307.6,161.85,
349,1374.5,507.45,303.6,161.3,
350,1374.3,504.75,302,161.5,
351,1342.15,506.4,301.1,158.1,
352,1325.45,496.98,296.95,154.65,
353,1320.15,496.5,295.65,162.15,
354,1342.1,508.13,295.75,164.5,
355,1367.45,514.63,292.5,165.55,
356,1343,515.35,289.25,167.35,
357,1337.15,501.83,286.05,166.95,
358,1348.45,507.05,294.55,161.9,
359,1382.15,517.9,295.8,162.6,
360,1358.55,512.45,298.75,165.2,
361,1366.9,506.65,303.45,165.75,
362,1374.3,509.03,302.2,167.35,
363,1369.4,507.45,299.75,167.75,
364,1377.55,505.93,295.75,164.6,
365,1375.15,505.23,290.8,162.9,
366,1382.85,510.25,293.9,164.2,
367,1357.5,506.35,292.55,161.55,
368,1366.35,513.95,288.45,159.7,
369,1375.5,528.73,288.15,158.3,
370,1392.1,533.2,293.8,162.15,
371,1405.45,530,290.6,154.85,
372,1424.75,514.6,293.75,148.75,
373,1439.15,506.68,297,150,
374,1458.05,509.95,299.65,150.5,
375,1427.15,508.83,297.15,151.85,
376,1437.8,516.7,298.85,156.7,
377,1410.65,522.28,292.8,158,
378,1399.05,523.25,290.5,145.4,
379,1392.2,522.38,293.25,144.45,
380,1410.05,532.5,293.9,144.5,
381,1397.35,537.78,292.8,146.3,
382,1392.8,541.2,294.4,152,
383,1393.1,537.1,291.25,147.55,
384,1392.35,536.13,289.65,148.15,
385,1413.25,544.48,285.35,153.75,
386,1425.1,551.4,282.25,155.9,
387,1412.45,553.6,281.65,152.95,
388,1418.9,555.25,282.2,153.4,
389,1423.55,545.33,277.3,156,
390,1401.4,536.23,270.6,140.05,
391,1393.45,541.85,271.2,146.15,
392,1425.5,545.35,276.5,152.85,
393,1432.4,548.18,280.05,153.4,
394,1423.15,544.7,283.05,158.9,
395,1426,555.4,286.55,155.15,
396,1403.7,554.5,284.65,155.95,
397,1391.45,548.18,286.35,154,
398,1338.9,528.58,283.7,147.75,
399,1316.05,538.83,279.9,150.2,
400,1301.95,530.33,271.9,146.75,
401,1355.25,540.55,275,151.6,
402,1342.15,543.68,277.2,150.4,
403,1359.95,543.78,281,153.9,
404,1336.55,532.1,285.15,156.15,
405,1344,531.65,284.05,155.15,
406,1340.1,530.43,285.1,154.1,
407,1334.65,527.03,296.7,152.05,
408,1378.55,524.35,290.5,148.55,
409,1391.7,527.48,291.55,150.5,
410,1377.5,525.6,292.05,150.25,
411,1417.2,525.5,291.25,149.55,
412,1404.35,511.88,294.95,144.85,
413,1401.6,511.98,293.15,143.2,
414,1386.15,502.78,298.5,139.3,
415,1381.4,500.58,297.2,144.05,
416,1391.35,501.75,297.75,143.35,
417,1350.8,502.3,298.45,118.6,
418,1324.55,505.2,297.5,125.5,
419,1268.35,500.88,280.45,116.45,
420,1225.75,492.7,270.75,114.4,
421,1255.4,493.28,275.05,108.55,
422,1250.2,488.88,276.5,112.1,
423,1249.8,493.75,278.45,116.4,
424,1221.95,495.75,276.05,108.6,
425,1249.7,500.73,275.95,111.4,
426,1226.9,504.5,281.5,117.1,
427,1217.65,493.68,276.25,113.05,
428,1244.05,496.85,275.4,112.3,
429,1246.7,493.33,277.9,113.2,
430,1255.8,498.85,277.95,114.9,
431,1263.1,495.03,283.55,115,
432,1270,498.88,286.1,112.25,
433,1236.8,497.38,283.95,109.85,
434,1215.55,496.93,286.45,113.6,
435,1243.4,502.6,280.45,116,
436,1264.95,499.58,279.55,111.95,
437,1289.85,510.03,279,113.1,
438,1268.25,514.48,279.45,114.9,
439,1264.5,513.6,276.25,113.3,
440,1278.55,519.9,280.85,112.1,
441,1266.55,529.75,275.4,112.45,
